Column1,Column2
192.168.13.226              ,80:5e:0c:1f:75:9a   C                     
192.168.12.6                     ,(incomplete)                              
192.168.11.35                    ,(incomplete)                              
192.168.13.227              ,a4:bb:6d:95:ac:7a   C                     
192.168.13.228              ,a4:bb:6d:95:b3:10   C                     
192.168.12.8                ,b4:a3:82:e0:e4:8d   C                     
192.168.12.9                ,b4:a3:82:e3:30:35   C                     
192.168.13.230              ,80:5e:c0:04:47:ff   C                     
192.168.13.231              ,8c:ec:4b:71:3d:af   C                     
192.168.12.11               ,ec:1d:8b:f1:8d:2b   C                     
192.168.13.232              ,a4:bb:6d:95:b6:00   C                     
192.168.11.41                    ,(incomplete)                              
192.168.12.12               ,ec:1d:8b:f1:96:3d   C                     
192.168.13.233              ,80:5e:c0:53:0e:36   C                     
192.168.11.42                    ,(incomplete)                              
192.168.12.13               ,ec:1d:8b:f1:97:4b   C                     
192.168.13.234              ,8c:ec:4b:6e:ed:ca   C                     
192.168.12.14               ,ec:1d:8b:f1:ac:99   C                     
192.168.7.195                    ,(incomplete)                              
192.168.13.237              ,80:5e:c0:54:fc:ae   C                     
96.77.241.198               ,38:17:e1:f6:26:78   C                     
192.168.11.46                    ,(incomplete)                              
192.168.24.79                    ,(incomplete)                              
192.168.13.238              ,80:5e:0c:1f:77:01   C                     
192.168.24.81               ,8c:ec:4b:d2:de:a2   C                     
192.168.7.200                    ,(incomplete)                              
12.176.237.33               ,70:70:8b:ff:e7:81   C                     
192.168.12.21               ,00:20:6b:8a:31:6c   C                     
192.168.11.50               ,50:9a:4c:17:7a:38   C                     
192.168.7.202                    ,(incomplete)                              
192.168.12.22                    ,(incomplete)                              
192.168.11.51               ,8c:ec:4b:71:3a:0e   C                     
192.168.11.53               ,34:7e:5c:c5:b7:9e   C                     
192.168.7.205                    ,(incomplete)                              
12.176.237.37               ,68:05:ca:06:ea:7f   C                     
192.168.11.54               ,00:15:65:e2:6e:4a   C                     
192.168.7.206                    ,(incomplete)                              
192.168.11.55               ,64:16:66:79:2b:b0   C                     
192.168.13.247              ,80:5e:0c:1f:75:af   C                     
192.168.11.56               ,8c:ec:4b:70:7d:93   C                     
192.168.13.248              ,8c:ec:4b:6e:ed:d9   C                     
192.168.24.90               ,cc:f9:e4:8e:e7:de   C                     
192.168.11.57               ,50:9a:4c:17:75:b9   C                     
192.168.13.249              ,e0:03:6b:91:65:72   C                     
192.168.11.59               ,00:15:65:e2:6c:e0   C                     
192.168.17.143                   ,(incomplete)                              
192.168.7.211                    ,(incomplete)                              
192.168.12.31               ,64:1c:ae:27:46:a2   C                     
192.168.11.60               ,34:7e:5c:c5:b7:aa   C                     
192.168.12.32               ,64:1c:ae:27:46:9e   C                     
192.168.11.61               ,50:9a:4c:17:bf:d2   C                     
12.176.237.45               ,f8:b1:56:9b:e4:1d   C                     
192.168.12.33               ,64:1c:ae:27:70:bf   C                     
192.168.1.2                      ,(incomplete)                              
192.168.11.63               ,50:9a:4c:17:c0:8d   C                     
192.168.1.3                      ,(incomplete)                              
192.168.24.97                    ,(incomplete)                              
192.168.11.64               ,38:8c:50:92:fa:7c   C                     
192.168.1.4                      ,(incomplete)                              
192.168.17.149                   ,(incomplete)                              
192.168.1.5                      ,(incomplete)                              
192.168.7.218                    ,(incomplete)                              
192.168.1.6                      ,(incomplete)                              
192.168.24.100              ,d2:53:ab:eb:2b:2f   C                     
192.168.11.67               ,8c:ec:4b:70:7d:88   C                     
192.168.7.219                    ,(incomplete)                              
192.168.1.7                      ,(incomplete)                              
192.168.24.101                   ,(incomplete)                              
192.168.11.68               ,50:9a:4c:17:c0:9a   C                     
192.168.7.220                    ,(incomplete)                              
192.168.1.8                      ,(incomplete)                              
192.168.1.9                      ,(incomplete)                              
192.168.11.70                    ,(incomplete)                              
192.168.1.10                     ,(incomplete)                              
192.168.11.71               ,00:15:65:e2:71:49   C                     
192.168.1.11                     ,(incomplete)                              
192.168.11.72               ,00:15:65:e2:6e:5b   C                     
